SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
HEOBI-2016-0201	HEOBI	1	12/1/16	9:12:11 am	-39.49	99.39	2286.3	4268	2.17	34.75	196.55	84.87	0	31.43	31.43		2.19		
HEOBI-2016-0207	HEOBI	1	12/1/16	9:45:57 am	-39.49	99.39	999.5	4268	3.89	34.39	197.4	44.69	0	33.69	33.69		2.3		
HEOBI-2016-0212	HEOBI	1	12/1/16	10:01:43 am	-39.49	99.39	500.5	4268	8.34	34.58	226.66	9.11	0	21.34	21.34		1.47		
HEOBI-2016-0220	HEOBI	1	12/1/16	10:17:29 am	-39.49	99.39	51	4268	15.18	35.2	264.97	1.01	0.06	2.19	2.25		0.33		
HEOBI-2016-0222	HEOBI	1	12/1/16	10:19:17 am	-39.49	99.39	28.2	4268	15.76	35.19	264.97	0.67	0.06	1.69	1.74		0.28		
HEOBI-2016-0224	HEOBI	1	12/1/16	10:21:00 am	-39.49	99.39	8	4268	15.82	35.19	265.11	0.67	0.06	1.65	1.71		0.28		
HEOBI-2016-0401	HEOBI	2	16/1/16	11:28:58 pm	-48.28	79.34	2297.8	3264	1.74	34.76	208.21	94.07	0	31.33	31.33		2.14		
HEOBI-2016-0407	HEOBI	2	16/1/16	12:04:10 am	-48.28	79.34	1001.2	3264	2.76	34.59	179.67	69.11	0.01	34.77	34.77		2.36		
HEOBI-2016-0412	HEOBI	2	16/1/16	12:19:14 am	-48.28	79.34	500.5	3264	3.37	34.26	231.52	34.96	0.01	32.83	32.84		2.21		
HEOBI-2016-0418	HEOBI	2	16/1/16	12:33:46 am	-48.28	79.34	70.2	3264	6.03	33.76	328.39	1.05	0.26	19.46	19.72		1.37		
HEOBI-2016-0422	HEOBI	2	16/1/16	12:37:20 am	-48.28	79.34	30.1	3264	6.78	33.78	317.54	2.33	0.23	20.45	20.68		1.42		
HEOBI-2016-0424	HEOBI	2	16/1/16	12:38:51 am	-48.28	79.34	15.8	3264	6.79	33.78	316.33	2.53	0.23	20.52	20.76		1.44		
HEOBI-2016-0807	HEOBI	3	18/1/16	1:47:58 am	-50.51	77	2000.7	3421	1.61	34.76	208.84	96.74	0.01	31.09	31.1		2.15		
HEOBI-2016-0809	HEOBI	3	18/1/16	2:11:30 am	-50.51	77	1000.1	3421	2.3	34.69	185.48	79.01	0.01	33.1	33.1		2.27		
HEOBI-2016-0818	HEOBI	3	18/1/16	2:46:16 am	-50.51	77	100.2	3421	3.48	33.86	320.58	10.28	0.31	25.3	25.61		1.85		
HEOBI-2016-0820	HEOBI	3	18/1/16	2:49:38 am	-50.51	77	49.6	3421	4.75	33.79	326.74	1.95	0.24	21.31	21.55		1.47		
HEOBI-2016-0822	HEOBI	3	18/1/16	2:51:50 am	-50.51	77	29.9	3421	5.72	33.73	324.69	0.73	0.26	19.04	19.31		1.36		
HEOBI-2016-0824	HEOBI	3	18/1/16	2:54:03 am	-50.51	77	14.8	3421	5.86	33.73	322.59	0.98	0.26	19.3	19.56		1.37		
HEOBI-2016-2502	HEOBI	4	31/1/16	12:08:45 am	-54.17	73.67	2100.3	2104	1.44	34.76	212.45	101.28	0	30.76	30.76		2.17		
HEOBI-2016-2507	HEOBI	4	31/1/16	12:34:04 am	-54.17	73.67	1000	2104	2.26	34.72	189.27	79.59	0	31.85	31.85		2.24		
HEOBI-2016-2512	HEOBI	4	31/1/16	12:47:10 am	-54.17	73.67	500.1	2104	2.38	34.53	177.35	72.69	0	35.56	35.57		2.49		
HEOBI-2016-2519	HEOBI	4	31/1/16	1:02:21 am	-54.17	73.67	79.5	2104	2.53	33.88	340.76	12.66	0.28	25.66	25.94		1.76		
HEOBI-2016-2521	HEOBI	4	31/1/16	1:04:37 am	-54.17	73.67	29.6	2104	2.54	33.88	340.36	12.7	0.28	25.58	25.86		1.76		
HEOBI-2016-2523	HEOBI	4	31/1/16	1:06:08 am	-54.17	73.67	15.5	2104	2.54	33.88	340.32	12.63	0.28	25.55	25.83		1.75		
