"Original_DNA_ID","Cast_Type","Corrected_DNA_ID","Cruise","Station","Niskin","Latitude","Longitude","Pressure","Temperature","Salinity","Oxygen","Phosphate","Silicate","Nitrate","Nitrite","DNA.concentration.ng.uL","Photic.Zone"
"P16N-S04-N01","Trace_Metal","P16N-S04-N01","P16N","S04","N01",-14.0001,-151.001,1009.3,4.1326,34.5166,130.3,2.46,68.41,35.81,0.01,0.965481456248766,"Aphotic"
"P16N-S04-N02","Trace_Metal","P16N-S04-N02","P16N","S04","N02",-14.0001,-151.001,708.3,5.5264,34.4619,147.3,2.19,39.33,32.6,0.01,1.66021943534841,"Aphotic"
"P16N-S04-N04","Trace_Metal","P16N-S04-N04","P16N","S04","N04",-14.0001,-151.001,256.5,19.3434,35.626,169.8,0.58,0.78,5.46,0.02,4.03804661811297,"Aphotic"
"P16N-S04-N05","Trace_Metal","P16N-S04-N05","P16N","S04","N05",-14.0001,-151.001,204.7,22.6075,36.1251,177.2,0.44,0.39,3.02,0.06,4.4297405194515,"Euphotic"
"P16N-S04-N06","Trace_Metal","P16N-S04-N06","P16N","S04","N06",-14.0001,-151.001,157.2,24.9995,36.3531,191.6,0.26,0.19,0.19,0.12,10.1096164499367,"Euphotic"
"P16N-S04-N08","Trace_Metal","P16N-S04-N08","P16N","S04","N08",-14.0001,-151.001,104.2,27.9785,36.2407,200.8,0.18,0.29,0.1,0.01,17.4889283600657,"Euphotic"
"P16N-S04-N11","Trace_Metal","P16N-S04-N11","P16N","S04","N11",-14.0001,-151.001,42.8,29.0668,36.1417,193.8,0.18,0.19,0.19,0.01,13.1255966180281,"Euphotic"
"P16N-S04-N12","Trace_Metal","P16N-S04-N12","P16N","S04","N12",-14.0001,-151.001,23.6,29.1665,36.1183,194.1,0.18,0.29,0.1,0.01,15.9529601402101,"Euphotic"
"P16N-S08-N03","Trace_Metal","P16N-S08-N03","P16N","S08","N03",-10,-151,504.9,7.5063,34.5843,140.5,2.3,33.47,34.25,0.01,2.4021115759254,"Aphotic"
"P16N-S08-N04","Trace_Metal","P16N-S08-N04","P16N","S08","N04",-10,-151,252.6,16.4869,35.2401,157.2,0.96,3.51,10.83,0.01,3.58913900084859,"Aphotic"
"P16N-S08-N05","Trace_Metal","P16N-S08-N05","P16N","S08","N05",-10,-151,203.3,20.6876,35.8367,165.6,0.64,1.07,6.24,0.02,4.85727158351282,"Aphotic"
"P16N-S08-N06","Trace_Metal","P16N-S08-N06","P16N","S08","N06",-10,-151,153.8,23.6486,36.2918,179.8,0.45,0.49,3.12,0.1,6.46302796235488,"Euphotic"
"P16N-S08-N08","Trace_Metal","P16N-S08-N08","P16N","S08","N08",-10,-151,103.7,27.3231,36.3596,196.5,0.22,0.58,0.1,0.01,15.3607038720545,"Euphotic"
"P16N-S08-N11","Trace_Metal","P16N-S08-N11","P16N","S08","N11",-10,-151,36.7,29.1895,35.9801,194.2,0.2,0.29,0,0.01,15.6536883953671,"Euphotic"
"P16N-S08-N12","Trace_Metal","P16N-S08-N12","P16N","S08","N12",-10,-151,22,29.2148,35.9776,194.5,0.2,0.39,0.1,0.01,12.6113018968484,"Euphotic"
"P16N-S12-N01","Trace_Metal","P16N-S12-N01","P16N","S12","N01",-6,-151,1010.1,4.3718,34.5491,86.9,2.75,78.46,39.42,0.02,1.43199329379803,"Aphotic"
"P16N-S12-N03","Trace_Metal","P16N-S12-N03","P16N","S12","N03",-6,-151,506.3,8.3303,34.6424,53,2.45,32.69,36.49,0.02,3.21127698687674,"Aphotic"
"P16N-S12-N04","Trace_Metal","P16N-S12-N04","P16N","S12","N04",-6,-151,256.6,12.5592,34.9346,65,1.95,16.1,26.54,0.02,4.32663008635436,"Aphotic"
"P16N-S12-N05","Trace_Metal","P16N-S12-N05","P16N","S12","N05",-6,-151,207.5,15.4185,35.1865,117.1,1.45,7.51,17.85,0.03,5.47216184917748,"Aphotic"
"P16N-S12-N06","Trace_Metal","P16N-S12-N06","P16N","S12","N06",-6,-151,157.2,19.3276,35.5736,155.1,0.86,1.56,8.97,0.08,6.826429366807,"Aphotic"
"P16N-S12-N08","Trace_Metal","P16N-S12-N08","P16N","S12","N08",-6,-151,103.9,27.14,36.245,188.9,0.41,0.39,1.56,1.11,8.0757002848803,"Euphotic"
"P16N-S12-N11","Trace_Metal","P16N-S12-N11","P16N","S12","N11",-6,-151,36.8,27.9745,35.7597,199.8,0.38,0.39,2.44,0.09,23.1040459087886,"Euphotic"
"P16N-S12-N12","Trace_Metal","P16N-S12-N12","P16N","S12","N12",-6,-151,20.9,27.9902,35.7626,199.6,0.38,0.49,2.53,0.09,23.7962689992761,"Euphotic"
"P16N-S18-N01","Trace_Metal","P16N-S18-N01","P16N","S18","N01",-0.995,-150.991,1009.3,4.6105,34.5506,82.4,2.74,77.39,39.05,0.01,1.96703584602771,"Aphotic"
"P16N-S18-N03","Trace_Metal","P16N-S18-N03","P16N","S18","N03",-0.995,-150.991,506.2,7.2386,34.5868,50.4,2.59,43.18,37.89,0.01,2.95475834843995,"Aphotic"
"P16N-S18-N04","Trace_Metal","P16N-S18-N04","P16N","S18","N04",-0.995,-150.991,252.4,12.0611,34.8757,70.3,1.87,19.55,27.21,0.01,5.44512679659713,"Aphotic"
"P16N-S18-N05","Trace_Metal","P16N-S18-N05","P16N","S18","N05",-0.995,-150.991,205.3,12.9024,34.9658,102.2,1.6,13.69,22.57,0.02,6.26938153922123,"Aphotic"
"P16N-S18-N06","Trace_Metal","P16N-S18-N06","P16N","S18","N06",-0.995,-150.991,154.1,15.67,35.2601,103,1.41,8.37,18.57,0.03,8.04237801076963,"Aphotic"
